build,floor,area,hour,full,label
Building 2 South,Floor 02,Area D Exterior,112,B2 F02 AH 5400 - S FL 02 Area D Ext Ext Frame,Ext Frame
Building 2 South,Floor 02,Area D Exterior,50,B2 F02 AH 5450 - S FL 02 Area D Ext Sheathing,Sheathing
Building 2 South,Floor 02,Area D Exterior,40,B2 F02 AH 7100 - S FL 02 Area D Ext Ext Insul,Ext Insul
Building 2 South,Floor 02,Area D Exterior,64,B2 F02 AH 9250 - S FL 02 Area D Ext Drywall H,Drywall H
Building 2 South,Floor 02,Area D Exterior,51,B2 F02 AH 9265 - S FL 02 Area D Ext Ext Firet,Ext Firet
Building 2 South,Floor 02,Area D Exterior,19,B2 F02 AH 9270 - S FL 02 Area D Ext Firetape ,Firetape
Building 2 South,Floor 02,Area D Exterior,41,B2 F02 AH 9280 - S FL 02 Area D Ext Tape Wall,Tape Wall
Building 2 South,Floor 03,Area C,94,B2 F03 AC 7200 - S FL 03 Area C Int Int Insul,Int Insul
Building 2 South,Floor 03,Area C,24,B2 F03 AC 9200 - S FL 03 Area C Int Int Layou,Int Layou
Building 2 South,Floor 03,Area C,193,B2 F03 AC 9201 - S FL 03 Area C Int Int Frame,Int Frame
Building 2 South,Floor 03,Area C,68,B2 F03 AC 9202 - S FL 03 Area C Int Int Top T,Int Top T
Building 2 South,Floor 03,Area C,34,B2 F03 AC 9203 - S FL 03 Area C Int Int Shaft,Int Shaft
Building 2 South,Floor 03,Area C,48,B2 F03 AC 9206 - S FL 03 Area C Int Int Backi,Int Backi
Building 2 South,Floor 03,Area C,529,B2 F03 AC 9250 - S FL 03 Area C Int Drywall H,Drywall H
Building 2 South,Floor 03,Area C,167,B2 F03 AC 9270 - S FL 03 Area C Int Firetape ,Firetape
Building 2 South,Floor 03,Area C,258,B2 F03 AC 9280 - S FL 03 Area C Int Tape Wall,Tape Wall
Building 2 South,Floor 03,Area C Exterior,4,B2 F03 AG 5390 - S FL 03 Area C Ext Ext ,Ext
Building 2 South,Floor 03,Area C Exterior,48,B2 F03 AG 5400 - S FL 03 Area C Ext Ext Frame,Ext Frame
Building 2 South,Floor 03,Area C Exterior,32,B2 F03 AG 5450 - S FL 03 Area C Ext Sheathing,Sheathing
Building 2 South,Floor 03,Area C Exterior,26,B2 F03 AG 7100 - S FL 03 Area C Ext Ext Insul,Ext Insul
Building 2 South,Floor 03,Area C Exterior,43,B2 F03 AG 9250 - S FL 03 Area C Ext Drywall H,Drywall H
Building 2 South,Floor 03,Area C Exterior,32,B2 F03 AG 9265 - S FL 03 Area C Ext Ext Firet,Ext Firet
Building 2 South,Floor 03,Area C Exterior,12,B2 F03 AG 9270 - S FL 03 Area C Ext Firetape ,Firetape
Building 2 South,Floor 03,Area C Exterior,27,B2 F03 AG 9280 - S FL 03 Area C Ext Tape Wall,Tape Wall
Building 2 South,Floor 03,Area D,7,B2 F03 AD 5400 - S FL 03 Area D Int Ext Frame,Ext Frame
Building 2 South,Floor 03,Area D,51,B2 F03 AD 7200 - S FL 03 Area D Int Int Insul,Int Insul
Building 2 South,Floor 03,Area D,11,B2 F03 AD 9200 - S FL 03 Area D Int Int Layou,Int Layou
Building 2 South,Floor 03,Area D,71,B2 F03 AD 9201 - S FL 03 Area D Int Int Frame,Int Frame
Building 2 South,Floor 03,Area D,32,B2 F03 AD 9202 - S FL 03 Area D Int Int Top T,Int Top T
Building 2 South,Floor 03,Area D,25,B2 F03 AD 9203 - S FL 03 Area D Int Int Shaft,Int Shaft
Building 2 South,Floor 03,Area D,23,B2 F03 AD 9206 - S FL 03 Area D Int Int Backi,Int Backi
